Protein_accession	uni_ipro_access	uni_ipro_desc	uni_GO_annot
CopciAB_513275.T0	IPR036396__IPR001128__IPR002401	Cytochrome P450 superfamily__Cytochrome P450__Cytochrome P450, E-class, group I	GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0004497|GO:0005506|GO:0016705|GO:0020037
CopciAB_513409.T0	IPR016166__IPR016169__IPR006094__IPR012951__IPR036318	FAD-binding domain, PCMH-type__FAD-binding, type PCMH, subdomain 2__FAD linked oxidase, N-terminal__Berberine/berberine-like__FAD-binding, type PCMH-like superfamily	GO:0071949__-__GO:0050660__GO:0016491|GO:0050660__GO:0050660
CopciAB_513568.T0	IPR045967	Domain of unknown function DUF5923	-
CopciAB_513582.T0	IPR000772__IPR035992__IPR037176	Ricin B, lectin domain__Ricin B-like lectins__Osmotin/thaumatin-like superfamily	-__-__-
CopciAB_513938.T0	IPR001138__IPR036864__IPR007219	Zn(2)Cys(6) fungal-type DNA-binding domain__Zn(2)-C6 fungal-type DNA-binding domain superfamily__Transcription factor domain, fungi	GO:0000981|GO:0006355|GO:0008270__GO:0000981|GO:0006355|GO:0008270__GO:0003677|GO:0006351|GO:0008270
CopciAB_513958.T0	IPR002938__IPR036188	FAD-binding domain__FAD/NAD(P)-binding domain superfamily	GO:0071949__-
CopciAB_51416.T0	IPR018535	Domain of unknown function DUF1996	-
CopciAB_514208.T0	IPR002483__IPR000504__IPR034268__IPR035979__IPR012677	PWI domain__RNA recognition motif domain__RBM25, RNA recognition motif__RNA-binding domain superfamily__Nucleotide-binding alpha-beta plait domain superfamily	GO:0006397__GO:0003723__-__GO:0003676__-
CopciAB_514244.T0	IPR038013__IPR001296__IPR031814	ALG11 mannosyltransferase__Glycosyl transferase, family 1__ALG11 mannosyltransferase, N-terminal	GO:0004377__GO:0016757__-
CopciAB_514369.T0	IPR001810__IPR036047	F-box domain__F-box-like domain superfamily	GO:0005515__GO:0005515
CopciAB_514476.T0	IPR000172__IPR012132__IPR036188	Glucose-methanol-choline oxidoreductase, N-terminal__Glucose-methanol-choline oxidoreductase__FAD/NAD(P)-binding domain superfamily	GO:0016614|GO:0050660__GO:0050660__-
CopciAB_514501.T0	IPR013734	Transcription factor Nrm1/Whi5	-
CopciAB_514707.T0	IPR032675	Leucine-rich repeat domain superfamily	-
CopciAB_514863.T0	IPR001841__IPR013083	Zinc finger, RING-type__Zinc finger, RING/FYVE/PHD-type	-__-
CopciAB_514957.T0	IPR002833__IPR023476	Peptidyl-tRNA hydrolase, PTH2__Peptidyl-tRNA hydrolase II domain superfamily	GO:0004045__-
CopciAB_515106.T0	IPR006709	Small-subunit processome, Utp14	GO:0006364|GO:0032040
CopciAB_515122.T0	IPR022775__IPR028565__IPR011012__IPR036168__IPR027059	AP complex, mu/sigma subunit__Mu homology domain__Longin-like domain superfamily__AP-2 complex subunit mu, C-terminal superfamily__Coatomer delta subunit	-__-__-__-__GO:0006890|GO:0030126
CopciAB_515314.T0	IPR008922__IPR002227	Di-copper centre-containing domain superfamily__Tyrosinase copper-binding domain	-__GO:0016491
CopciAB_515328.T0	IPR032098__IPR002123	Acyltransferase, C-terminal domain__Phospholipid/glycerol acyltransferase	-__GO:0016746
CopciAB_515367.T0	IPR017932__IPR029055__IPR001962__IPR014729	Glutamine amidotransferase type 2 domain__Nucleophile aminohydrolases, N-terminal__Asparagine synthase__Rossmann-like alpha/beta/alpha sandwich fold	-__-__GO:0004066|GO:0006529__-
CopciAB_515655.T0	IPR040976	Fungal-type protein kinase	-
CopciAB_515679.T0	IPR011009__IPR040976	Protein kinase-like domain superfamily__Fungal-type protein kinase	-__-
CopciAB_515752.T0	IPR029058__IPR001375	Alpha/Beta hydrolase fold__Peptidase S9, prolyl oligopeptidase, catalytic domain	-__GO:0006508|GO:0008236
CopciAB_515780.T0	IPR001841__IPR004575__IPR017907__IPR015877__IPR013083	Zinc finger, RING-type__Cdk-activating kinase assembly factor MAT1/Tfb3__Zinc finger, RING-type, conserved site__Cdk-activating kinase assembly factor MAT1, centre__Zinc finger, RING/FYVE/PHD-type	-__GO:0005675|GO:0006289|GO:0045737|GO:0061575__-__-__-
CopciAB_515919.T0	IPR043936__IPR036872__IPR008636	HOOK, N-terminal__CH domain superfamily__Hook, C-terminal	GO:0030705__-__GO:0008017|GO:0031122
CopciAB_515947.T0	IPR000897__IPR003593__IPR007222__IPR036225__IPR011012__IPR042101__IPR013822__IPR027417	Signal recognition particle, SRP54 subunit, GTPase domain__AAA+ ATPase domain__Signal recognition particle receptor, alpha subunit, N-terminal__SRP/SRP receptor, N-terminal__Longin-like domain superfamily__Signal recognition particle SRP54, N-terminal domain superfamily__Signal recognition particle SRP54, helical bundle__P-loop containing nucleoside triphosphate hydrolase	GO:0005525|GO:0006614__-__GO:0003924|GO:0005047|GO:0005525|GO:0005785|GO:0006886__-__-__-__GO:0005525|GO:0006614__-
CopciAB_516390.T0	IPR027417__IPR010935__IPR003395__IPR036277	P-loop containing nucleoside triphosphate hydrolase__SMCs flexible hinge__RecF/RecN/SMC, N-terminal__SMCs flexible hinge superfamily	-__GO:0005515|GO:0005524|GO:0005694|GO:0051276__-__GO:0005515|GO:0005524|GO:0005694|GO:0051276
CopciAB_516537.T0	IPR001810	F-box domain	GO:0005515
CopciAB_516554.T0	IPR029058__IPR016812__IPR000073	Alpha/Beta hydrolase fold__Protein phosphatase methylesterase, eukaryotic__Alpha/beta hydrolase fold-1	-__GO:0006482|GO:0051723__-
CopciAB_516570.T0	IPR029058__IPR002921	Alpha/Beta hydrolase fold__Fungal lipase-like domain	-__GO:0006629
CopciAB_51660.T0	IPR006880__IPR029523	INO80 complex subunit B-like conserved region__INO80 complex, subunit Ies2	GO:0031011__GO:0006338|GO:0031011
CopciAB_516686.T0	IPR011009__IPR040976	Protein kinase-like domain superfamily__Fungal-type protein kinase	-__-
CopciAB_516703.T0	IPR029063__IPR001525__IPR031303	S-adenosyl-L-methionine-dependent methyltransferase superfamily__C-5 cytosine methyltransferase__DNA methylase, C-5 cytosine-specific, conserved site	-__GO:0008168__-
CopciAB_516746.T0	IPR003439__IPR017871__IPR003593__IPR011527__IPR036640__IPR027417	ABC transporter-like, ATP-binding domain__ABC transporter-like, conserved site__AAA+ ATPase domain__ABC transporter type 1, transmembrane domain__ABC transporter type 1, transmembrane domain superfamily__P-loop containing nucleoside triphosphate hydrolase	GO:0005524__GO:0005524|GO:0016887__-__GO:0005524|GO:0016020|GO:0055085|GO:0140359__GO:0005524|GO:0016020__-
CopciAB_516779.T0	IPR036514__IPR013830	SGNH hydrolase superfamily__SGNH hydrolase-type esterase domain	-__-
CopciAB_516935.T0	IPR040521__IPR041457	Kyakuja-Dileera-Zisupton transposase__CxC2-like cysteine cluster, KDZ transposase-associated	-__-
CopciAB_517014.T0	IPR002401__IPR036396__IPR001128	Cytochrome P450, E-class, group I__Cytochrome P450 superfamily__Cytochrome P450	GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0004497|GO:0005506|GO:0016705|GO:0020037__GO:0004497|GO:0005506|GO:0016705|GO:0020037
CopciAB_517168.T0	IPR006068__IPR004014__IPR001757__IPR023298__IPR018303__IPR036412__IPR023299__IPR008250__IPR023214__IPR044492	Cation-transporting P-type ATPase, C-terminal__Cation-transporting P-type ATPase, N-terminal__P-type ATPase__P-type ATPase, transmembrane domain superfamily__P-type ATPase, phosphorylation site__HAD-like superfamily__P-type ATPase, cytoplasmic domain N__P-type ATPase, A domain superfamily__HAD superfamily__P-type ATPase, haloacid dehalogenase domain	-__-__GO:0005215|GO:0005524|GO:0016020|GO:0016887__-__-__-__GO:0000166__-__-__-
CopciAB_517200.T0	IPR045340	Domain of unknown function DUF6533	-
CopciAB_517273.T0	IPR019775__IPR001680__IPR015943__IPR036322	WD40 repeat, conserved site__WD40 repeat__WD40/YVTN repeat-like-containing domain superfamily__WD40-repeat-containing domain superfamily	-__GO:0005515__GO:0005515__GO:0005515
CopciAB_51761.T0	IPR000253__IPR008984	Forkhead-associated (FHA) domain__SMAD/FHA domain superfamily	GO:0005515__GO:0005515
CopciAB_517646.T0	IPR000757__IPR013320	Glycoside hydrolase family 16__Concanavalin A-like lectin/glucanase domain superfamily	GO:0004553|GO:0005975__-
CopciAB_517707.T0	IPR041539__IPR040898	CxC5 like cysteine cluster associated with KDZ__CxC6 like cysteine cluster associated with KDZ	-__-
CopciAB_517791.T0	IPR036879__IPR002100	Transcription factor, MADS-box superfamily__Transcription factor, MADS-box	GO:0003677|GO:0046983__GO:0003677|GO:0046983
CopciAB_517884.T0	IPR001810__IPR036047	F-box domain__F-box-like domain superfamily	GO:0005515__GO:0005515
CopciAB_517983.T0	IPR002913__IPR023393	START domain__START-like domain superfamily	GO:0008289__-
CopciAB_518017.T0	IPR004136__IPR013785	Nitronate monooxygenase__Aldolase-type TIM barrel	GO:0018580__-
CopciAB_5182.T0	IPR004841	Amino acid permease/ SLC12A domain	GO:0016020|GO:0055085
CopciAB_518209.T0	IPR022398__IPR010259__IPR036852__IPR000209__IPR037045__IPR034193__IPR023828__IPR015500	Peptidase S8, subtilisin, His-active site__Peptidase S8 propeptide/proteinase inhibitor I9__Peptidase S8/S53 domain superfamily__Peptidase S8/S53 domain__Peptidase S8 propeptide/proteinase inhibitor I9 superfamily__Proteinase K-like catalytic domain__Peptidase S8, subtilisin, Ser-active site__Peptidase S8, subtilisin-related	-__-__GO:0004252|GO:0006508__GO:0006508|GO:0008236__-__-__-__-
CopciAB_518368.T0	IPR027005__IPR016093__IPR032421__IPR003342__IPR036300	Glycosyltransferase 39-like__MIR motif__Protein O-mannosyl-transferase, C-terminal four TM domain__Glycosyl transferase family 39/83__Mir domain superfamily	-__-__-__GO:0000030|GO:0006493|GO:0016020__-
CopciAB_518477.T0	IPR007149	Leo1-like protein	GO:0006368|GO:0016570|GO:0016593
CopciAB_518489.T0	IPR011330__IPR002509	Glycoside hydrolase/deacetylase, beta/alpha-barrel__NodB homology domain	GO:0005975__GO:0005975|GO:0016810
CopciAB_51853.T0	IPR009078	Ferritin-like superfamily	-
CopciAB_518577.T0	IPR029063__IPR013216	S-adenosyl-L-methionine-dependent methyltransferase superfamily__Methyltransferase type 11	-__GO:0008168
CopciAB_518613.T0	IPR011990__IPR019734__IPR019544	Tetratricopeptide-like helical domain superfamily__Tetratricopeptide repeat__Tetratricopeptide, SHNi-TPR domain	GO:0005515__GO:0005515__-
CopciAB_518718.T0	IPR035925__IPR013876__IPR011993__IPR005607__IPR027079	BSD domain superfamily__TFIIH p62 subunit, N-terminal__PH-like domain superfamily__BSD domain__TFIIH subunit Tfb1/GTF2H1	-__-__-__-__GO:0000439|GO:0006289|GO:0006351
CopciAB_518747.T0	IPR011333	SKP1/BTB/POZ domain superfamily	-
CopciAB_518773.T0	IPR045339	Domain of unknown function DUF6534	-
CopciAB_519006.T0	IPR000217__IPR018316__IPR003008__IPR036525__IPR017975__IPR002453__IPR008280__IPR023123__IPR037103	Tubulin__Tubulin/FtsZ, 2-layer sandwich domain__Tubulin/FtsZ, GTPase domain__Tubulin/FtsZ, GTPase domain superfamily__Tubulin, conserved site__Beta tubulin__Tubulin/FtsZ, C-terminal__Tubulin, C-terminal__Tubulin/FtsZ-like, C-terminal domain	GO:0005874|GO:0007017__-__GO:0005525__-__GO:0005525|GO:0005874|GO:0007017__GO:0003924|GO:0005200|GO:0005525|GO:0005874|GO:0007017__-__-__-
CopciAB_519105.T0	IPR004598__IPR040662	Transcription factor TFIIH subunit p52/Tfb2__Transcription factor Tfb2, C-terminal domain	GO:0000439|GO:0001671|GO:0006289__-
CopciAB_519190.T0	IPR043129__IPR004000	ATPase, nucleotide binding domain__Actin family	-__-
CopciAB_519417.T0	IPR006603	PQ-loop repeat	-
CopciAB_519684.T0	IPR045340	Domain of unknown function DUF6533	-
CopciAB_519767.T0	IPR029044__IPR001173	Nucleotide-diphospho-sugar transferases__Glycosyltransferase 2-like	-__-
CopciAB_519812.T0	IPR003819__IPR042098	TauD/TfdA-like domain__Taurine dioxygenase TauD-like superfamily	GO:0016491__-
CopciAB_519834.T0	IPR024983__IPR011990	CHAT domain__Tetratricopeptide-like helical domain superfamily	-__GO:0005515
CopciAB_519885.T0	IPR019775__IPR036322__IPR001680__IPR037626__IPR015943	WD40 repeat, conserved site__WD40-repeat-containing domain superfamily__WD40 repeat__Nucleoporin Nup37__WD40/YVTN repeat-like-containing domain superfamily	-__GO:0005515__GO:0005515__GO:0031080__GO:0005515
CopciAB_520023.T0	IPR024571__IPR001930__IPR027268__IPR014782__IPR042097__IPR034016__IPR045357	ERAP1-like C-terminal domain__Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase__Peptidase M4/M1, CTD superfamily__Peptidase M1, membrane alanine aminopeptidase__Aminopeptidase N-like , N-terminal domain superfamliy__Aminopeptidase N-type__Aminopeptidase N-like , N-terminal domain	-__GO:0006508__-__GO:0008237|GO:0008270__-__-__-
CopciAB_520214.T0	IPR000873__IPR020845	AMP-dependent synthetase/ligase domain__AMP-binding, conserved site	-__-
CopciAB_520278.T0	IPR002108__IPR029006__IPR011993	Actin-depolymerising factor homology domain__ADF-H/Gelsolin-like domain superfamily__PH-like domain superfamily	GO:0003779__-__-
CopciAB_520293.T0	IPR040976	Fungal-type protein kinase	-
CopciAB_520307.T0	IPR001650__IPR014001__IPR027417__IPR011545__IPR000629__IPR014014	Helicase, C-terminal__Helicase superfamily 1/2, ATP-binding domain__P-loop containing nucleoside triphosphate hydrolase__DEAD/DEAH box helicase domain__ATP-dependent RNA helicase DEAD-box, conserved site__RNA helicase, DEAD-box type, Q motif	-__-__-__GO:0003676|GO:0005524__-__GO:0003724
CopciAB_520333.T0	IPR027417__IPR011545__IPR001650__IPR014756__IPR004179__IPR014001__IPR036390__IPR035892__IPR036388__IPR003593	P-loop containing nucleoside triphosphate hydrolase__DEAD/DEAH box helicase domain__Helicase, C-terminal__Immunoglobulin E-set__Sec63 domain__Helicase superfamily 1/2, ATP-binding domain__Winged helix DNA-binding domain superfamily__C2 domain superfamily__Winged helix-like DNA-binding domain superfamily__AAA+ ATPase domain	-__GO:0003676|GO:0005524__-__-__-__-__-__-__-__-
CopciAB_520359.T0	IPR001223__IPR017853__IPR001579__IPR011583__IPR029070	Glycoside hydrolase family 18, catalytic domain__Glycoside hydrolase superfamily__Glycosyl hydrolases family 18 (GH18) active site__Chitinase II__Chitinase insertion domain superfamily	GO:0005975__-__GO:0004553|GO:0005975__GO:0008061__-
CopciAB_520581.T0	IPR003594__IPR036890__IPR039028__IPR018955__IPR036784	Histidine kinase/HSP90-like ATPase__Histidine kinase/HSP90-like ATPase superfamily__PDK/BCKDK protein kinase__Branched-chain alpha-ketoacid dehydrogenase kinase/Pyruvate dehydrogenase kinase, N-terminal__Alpha-ketoacid/pyruvate dehydrogenase kinase, N-terminal domain superfamily	-__-__GO:0004672__-__-
CopciAB_520650.T0	IPR032387__IPR000873__IPR020845__IPR045851__IPR042099__IPR005914	Acetyl-coenzyme A synthetase, N-terminal domain__AMP-dependent synthetase/ligase domain__AMP-binding, conserved site__AMP-binding enzyme, C-terminal domain superfamily__ANL, N-terminal domain__Acetoacetyl-CoA synthase	-__-__-__-__-__GO:0006629|GO:0030729
CopciAB_520688.T0	IPR001650__IPR000629__IPR027417__IPR025313__IPR014001__IPR011545	Helicase, C-terminal__ATP-dependent RNA helicase DEAD-box, conserved site__P-loop containing nucleoside triphosphate hydrolase__Domain of unknown function DUF4217__Helicase superfamily 1/2, ATP-binding domain__DEAD/DEAH box helicase domain	-__-__-__-__-__GO:0003676|GO:0005524
CopciAB_521062.T0	IPR012340__IPR040184__IPR015408	Nucleic acid-binding, OB-fold__Minichromosome maintenance protein 10__Zinc finger, Mcm10/DnaG-type	-__GO:0003690|GO:0003697|GO:0006270__GO:0005634|GO:0006260
CopciAB_521489.T0	IPR027948	Protein of unknown function (DUF4436)	-
CopciAB_521771.T0	IPR008271__IPR000719__IPR011009__IPR001245	Serine/threonine-protein kinase, active site__Protein kinase domain__Protein kinase-like domain superfamily__Serine-threonine/tyrosine-protein kinase, catalytic domain	GO:0004672|GO:0006468__GO:0004672|GO:0005524|GO:0006468__-__GO:0004672|GO:0006468
CopciAB_522040.T0	IPR010829__IPR036908	Cerato-platanin__RlpA-like domain superfamily	-__-
CopciAB_522143.T0	IPR045340	Domain of unknown function DUF6533	-
CopciAB_522245.T0	IPR045340	Domain of unknown function DUF6533	-
CopciAB_52227.T0	IPR014752	Arrestin-like, C-terminal	-
CopciAB_522292.T0	IPR027417__IPR011545	P-loop containing nucleoside triphosphate hydrolase__DEAD/DEAH box helicase domain	-__GO:0003676|GO:0005524
CopciAB_522410.T0	IPR003492__IPR036259	Batten's disease protein Cln3__MFS transporter superfamily	GO:0016020__-
CopciAB_522447.T0	IPR019819__IPR002018__IPR029058__IPR019826	Carboxylesterase type B, conserved site__Carboxylesterase, type B__Alpha/Beta hydrolase fold__Carboxylesterase type B, active site	-__-__-__-
CopciAB_522553.T0	IPR007714__IPR040441	CFA20 domain__Cilia- and flagella-associated protein 20/CFAP20DC	-__-
CopciAB_522601.T0	IPR013962	DASH complex subunit Dam1	GO:0008608|GO:0042729|GO:0072686
CopciAB_522649.T0	IPR001810__IPR036047	F-box domain__F-box-like domain superfamily	GO:0005515__GO:0005515
CopciAB_522720.T0	IPR029058__IPR013094__IPR002168__IPR033140	Alpha/Beta hydrolase fold__Alpha/beta hydrolase fold-3__Lipase, GDXG, putative histidine active site__Lipase, GDXG, putative serine active site	-__GO:0016787__GO:0016787__-
CopciAB_522776.T0	IPR000462__IPR043130	CDP-alcohol phosphatidyltransferase__CDP-alcohol phosphatidyltransferase, transmembrane domain	GO:0008654|GO:0016020|GO:0016780__-
CopciAB_522790.T0	IPR020846__IPR036259__IPR011701	Major facilitator superfamily domain__MFS transporter superfamily__Major facilitator superfamily	GO:0022857__-__GO:0022857|GO:0055085
CopciAB_522835.T0	IPR012132__IPR000172__IPR036188__IPR007867	Glucose-methanol-choline oxidoreductase__Glucose-methanol-choline oxidoreductase, N-terminal__FAD/NAD(P)-binding domain superfamily__Glucose-methanol-choline oxidoreductase, C-terminal	GO:0050660__GO:0016614|GO:0050660__-__GO:0016614
CopciAB_523533.T0	IPR000232__IPR036388__IPR027725__IPR036390	Heat shock factor (HSF)-type, DNA-binding__Winged helix-like DNA-binding domain superfamily__Heat shock transcription factor family__Winged helix DNA-binding domain superfamily	GO:0003700|GO:0006355|GO:0043565__-__-__-
CopciAB_523584.T0	IPR012341__IPR010905__IPR008928	Six-hairpin glycosidase-like superfamily__Glycosyl hydrolase, family 88__Six-hairpin glycosidase superfamily	GO:0005975__-__GO:0005975
CopciAB_523818.T0	IPR002018__IPR029058__IPR019826__IPR019819	Carboxylesterase, type B__Alpha/Beta hydrolase fold__Carboxylesterase type B, active site__Carboxylesterase type B, conserved site	-__-__-__-
CopciAB_523984.T0	IPR029144__IPR036052__IPR000634__IPR001926__IPR004450__IPR037158	Threonine synthase, N-terminal__Tryptophan synthase beta chain-like, PALP domain superfamily__Serine/threonine dehydratase, pyridoxal-phosphate-binding site__Tryptophan synthase beta chain-like, PALP domain__Threonine synthase-like__Threonine synthase, N-terminal domain superfamily	-__-__GO:0006520|GO:0030170__-__-__-
CopciAB_524005.T0	IPR036910__IPR009071	High mobility group box domain superfamily__High mobility group box domain	-__-
CopciAB_524124.T0	IPR018535	Domain of unknown function DUF1996	-
CopciAB_524311.T0	IPR006569__IPR035967__IPR000061__IPR000504__IPR008942__IPR012677__IPR035979	CID domain__SWAP/Surp superfamily__SWAP/Surp__RNA recognition motif domain__ENTH/VHS__Nucleotide-binding alpha-beta plait domain superfamily__RNA-binding domain superfamily	-__GO:0003723|GO:0006396__GO:0003723|GO:0006396__GO:0003723__-__-__GO:0003676
CopciAB_524400.T0	IPR027450__IPR037151__IPR032852	Alpha-ketoglutarate-dependent dioxygenase AlkB-like__Alpha-ketoglutarate-dependent dioxygenase AlkB-like superfamily__DNA oxidative demethylase ALKBH2	-__-__GO:0006281
CopciAB_524741.T0	IPR000757__IPR013320	Glycoside hydrolase family 16__Concanavalin A-like lectin/glucanase domain superfamily	GO:0004553|GO:0005975__-
CopciAB_524906.T0	IPR006073__IPR027417	GTP binding domain__P-loop containing nucleoside triphosphate hydrolase	GO:0005525__-
